id,name,industry,mood,primary,secondary,accent,cta,background,surface,text,muted
hair-elegant,Hair & Beauty Elegant,hair-beauty,elegant;feminine,#8B5E83,#D4A574,#C7456B,#C7456B,#FFF8F5,#FFFFFF,#2D2028,#9B8A92
hair-modern,Hair & Beauty Modern,hair-beauty,modern;chic,#1A1A2E,#E8B4B8,#D4956B,#D4956B,#FDF6F4,#FFFFFF,#1A1A2E,#8B7B85
restaurant-warm,Restaurant Warm,restaurant,warm;appetizing,#2D3436,#B8860B,#E17055,#E17055,#FEFEFE,#FFF9F5,#2D3436,#636E72
restaurant-modern,Restaurant Modern,restaurant,modern;clean,#1B1B1B,#C9A96E,#FF6B35,#FF6B35,#FFFDF9,#FFFFFF,#1B1B1B,#6B6B6B
restaurant-rustic,Restaurant Rustic,restaurant,rustic;cozy,#3E2723,#8D6E63,#FF8F00,#FF8F00,#FFF8E7,#FFFBF0,#3E2723,#795548
trades-trust,Trades & Construction Trust,trades,trustworthy;solid,#2C3E50,#E67E22,#27AE60,#27AE60,#F8F9FA,#FFFFFF,#2C3E50,#7F8C8D
trades-bold,Trades & Construction Bold,trades,bold;energetic,#1A237E,#FF6F00,#00C853,#FF6F00,#F5F5F5,#FFFFFF,#1A237E,#757575
medical-calm,Healthcare Calm,healthcare,calm;professional,#1A5276,#2ECC71,#3498DB,#3498DB,#F0F8FF,#FFFFFF,#1A1A2E,#85929E
medical-modern,Healthcare Modern,healthcare,modern;clean,#0D4F6B,#00B4D8,#48CAE4,#FF6B35,#F8FDFF,#FFFFFF,#0A1628,#6B7280
medical-warm,Healthcare Warm,healthcare,warm;caring,#2E5D4B,#7DCEA0,#F39C12,#F39C12,#F0FFF4,#FFFFFF,#1A3C34,#6B8F7B
legal-authority,Law & Legal Authority,legal,authoritative;serious,#1B2631,#85929E,#C0392B,#C0392B,#FAFAFA,#FFFFFF,#1B2631,#5D6D7E
legal-modern,Law & Legal Modern,legal,modern;approachable,#0F2B46,#4A90D9,#E74C3C,#4A90D9,#F8FAFC,#FFFFFF,#0F2B46,#64748B
fitness-energy,Fitness & Sports Energy,fitness,energetic;dynamic,#1E1E2E,#00B894,#FF6B35,#FF6B35,#F5F5F5,#FFFFFF,#1E1E2E,#636E72
fitness-dark,Fitness & Sports Dark,fitness,dark;intense,#0A0A0A,#00E676,#FF1744,#FF1744,#121212,#1E1E1E,#FAFAFA,#9E9E9E
fitness-wellness,Fitness Wellness,fitness,calm;wellness,#1B5E4B,#A8E6CF,#FFD93D,#FFD93D,#F0FFF4,#FFFFFF,#1B5E4B,#6B8F7B
realestate-pro,Real Estate Professional,real-estate,professional;modern,#2C3E50,#1ABC9C,#E74C3C,#E74C3C,#FFFFFF,#F8F9FA,#2C3E50,#7F8C8D
realestate-luxury,Real Estate Luxury,real-estate,luxurious;premium,#1A1A2E,#C9A96E,#E8E8E8,#C9A96E,#FAFAFA,#FFFFFF,#1A1A2E,#6B6B6B
