id,name,description,mood_tags,best_for,tailwind_essence,pair_with_palettes,avoid_when
glassmorphism,Glassmorphism,Frosted glass with blur and transparency,modern;ethereal;tech,tech;saas;creative;portfolio,"bg-white/10 backdrop-blur-lg border border-white/20 shadow-lg",tech-dark;modern-minimal;neon-accent,content-heavy;a11y-critical;print
neomorphism,Neomorphism,Soft extruded UI with inner/outer shadows,soft;modern;minimal,dashboards;settings;calculators,"bg-gray-100 shadow-[5px_5px_10px_#d1d1d1,-5px_-5px_10px_#ffffff] rounded-2xl",soft-neutral;pastel-light,text-heavy;high-contrast-needed;mobile
brutalism,Brutalism,Raw bold intentionally unpolished aesthetic,bold;raw;artistic;rebellious,art;music;fashion;creative-agency,"border-4 border-black font-mono uppercase tracking-widest",bold-contrast;monochrome;neon-accent,corporate;medical;legal;conservative
minimalism,Minimalism,Maximum whitespace minimal elements,clean;calm;elegant;simple,luxury;architecture;photography;portfolio,"bg-white text-gray-900 space-y-8 tracking-tight",monochrome;neutral-warm;nordic,playful;data-heavy;e-commerce-dense
flat-design,Flat Design,No shadows or gradients pure color blocks,clean;modern;simple,apps;dashboards;documentation;internal-tools,"bg-blue-500 text-white rounded-lg font-medium",any-solid-palette,luxury;organic;editorial
material-design,Material Design,Elevation system with subtle shadows and motion,structured;professional;systematic,apps;enterprise;dashboards;complex-ui,"shadow-md rounded-xl transition-shadow hover:shadow-lg",any-professional,minimalist;editorial;artistic
skeuomorphism,Skeuomorphism,Realistic textures imitating physical objects,nostalgic;realistic;detailed,music-apps;games;specialty-tools,"bg-gradient-to-b from-gray-200 to-gray-300 shadow-inner rounded-xl border",retro;warm-nostalgic,modern;corporate;saas
dark-mode-elegant,Dark Mode Elegant,Sophisticated dark backgrounds with subtle accents,sophisticated;premium;modern,saas;dev-tools;streaming;portfolio,"bg-gray-950 text-gray-100 border-gray-800/50",tech-dark;midnight-blue;charcoal,medical;childcare;organic
dark-mode-vibrant,Dark Mode Vibrant,Dark base with vivid accent colors,energetic;modern;bold,gaming;music;nightlife;creative,"bg-black text-white accent-cyan-400",neon-accent;cyberpunk;electric,corporate;medical;conservative
gradient-rich,Gradient Rich,Bold gradients as primary design element,dynamic;modern;energetic,startups;apps;landing-pages;marketing,"bg-gradient-to-br from-purple-600 via-pink-500 to-orange-400",gradient-sunset;gradient-ocean;gradient-forest,conservative;legal;minimal
monochrome,Monochrome,Single hue with varying lightness,elegant;focused;sophisticated,photography;portfolio;editorial;luxury,"bg-gray-50 text-gray-900 border-gray-200 accent-gray-600",monochrome;any-single-hue,playful;colorful;children
duotone,Duotone,Two-color palette for striking visual impact,bold;artistic;memorable,marketing;event;campaign;editorial,"bg-indigo-900 text-amber-300 accent-amber-400",any-two-color-combo,data-heavy;dashboard;multi-page
organic-natural,Organic Natural,Soft curves earthy tones natural textures,warm;natural;grounded;honest,wellness;organic-food;sustainability;eco,"rounded-3xl bg-amber-50 text-stone-800 border-stone-200",earth-warm;forest-green;sand-clay,tech;corporate;gaming
editorial,Editorial,Magazine-inspired typography-heavy layouts,sophisticated;literary;cultured,blogs;magazines;news;content-sites,"prose prose-lg font-serif leading-relaxed max-w-prose",warm-editorial;classic-cream;ink-paper,apps;dashboards;e-commerce
swiss-grid,Swiss Grid,Strict grid-based layouts with typography focus,precise;professional;structured,corporate;architecture;design-agency;institutional,"grid grid-cols-12 gap-4 font-sans tracking-tight",neutral-swiss;monochrome;corporate-blue,playful;organic;handmade
retro-vintage,Retro Vintage,Nostalgic design inspired by past decades,nostalgic;warm;playful;characterful,cafes;barbershops;vinyl;vintage-shops,"font-serif bg-amber-100 text-amber-900 border-2 border-amber-800",retro-warm;cream-brown;mustard-olive,modern-tech;saas;medical
art-deco,Art Deco,1920s inspired geometric luxury patterns,luxurious;dramatic;geometric;glamorous,luxury-hotels;jewelry;high-end-events;cocktail-bars,"font-serif tracking-[0.2em] uppercase bg-black text-gold border-2",gold-black;emerald-gold;art-deco-navy,casual;budget;children
cyberpunk,Cyberpunk,Neon colors on dark backgrounds futuristic,futuristic;edgy;tech;rebellious,gaming;tech-events;crypto;creative,"bg-gray-950 text-cyan-400 border-cyan-500/30 shadow-cyan-500/20",neon-accent;cyberpunk-pink;electric-blue,corporate;medical;legal;traditional
nordic-minimal,Nordic Minimal,Scandinavian influenced clean and airy,calm;clean;natural;understated,furniture;interior;lifestyle;wellness,"bg-white text-gray-700 rounded-sm border-gray-100 space-y-6",nordic-palette;soft-gray;natural-white,bold;dramatic;vibrant
japanese-minimal,Japanese Minimal,Wabi-sabi influenced intentional imperfection,serene;thoughtful;refined,tea;ceramics;meditation;fine-dining,"bg-stone-50 text-stone-700 font-light tracking-wide space-y-8",warm-stone;matcha;ink-wash,loud;busy;corporate
industrial,Industrial,Raw materials exposed structure urban aesthetic,urban;raw;honest;sturdy,co-working;breweries;gyms;workshops,"bg-zinc-800 text-zinc-100 font-mono border-zinc-600",industrial-gray;concrete;raw-metal,luxury;feminine;delicate
memphis,Memphis,Bold colors geometric shapes playful patterns,playful;bold;fun;energetic,children;creative;events;pop-culture,"bg-yellow-400 text-black border-4 border-black rounded-none font-black",memphis-primary;bold-pop;carnival,serious;corporate;medical;legal
